nm,RealReflectance,SimulatedReflectance
701.0,9.38474,7.70797824263572
702.0,9.392604,7.707735959291449
703.0,9.411066,7.706501560211181
704.0,9.372686,7.70587965488433
705.0,9.388424,7.70563922047615
706.0,9.394493,7.70492272377014
707.0,9.352633,7.704675587415689
708.0,9.392469,7.7034479260444595
709.0,9.397089,7.70282787919044
710.0,9.347364,7.702588087320319
711.0,9.381982,7.70187099814415
712.0,9.381051,7.70163182735443
713.0,9.344144,7.70039931058883
714.0,9.391516,7.69977928757667
715.0,9.363863,7.69956943035125
716.0,9.323537,7.699330887794489
717.0,9.379082,7.698615666627879
718.0,9.351303,7.697486937046049
719.0,9.319286,7.696772334575649
720.0,9.39547,7.69653381466865
721.0,9.359426,7.6962940776348105
722.0,9.306081,7.69570644497871
723.0,9.389479,7.69448313355445
724.0,9.35534,7.69424463510513
725.0,9.301947,7.69353006482124
726.0,9.375822,7.69341791629791
727.0,9.346886,7.69270335555076
728.0,9.298238,7.69246609210968
729.0,9.364142,7.69124464511871
730.0,9.359697,7.69063324689865
731.0,9.294489,7.690425906181329
732.0,9.343237,7.69018927454948
733.0,9.376626,7.68947473883628
734.0,9.284397,7.6883814895153
735.0,9.325765,7.68814487218856
736.0,9.363738,7.687438287734979
737.0,9.287833,7.68732680082321
738.0,9.316729,7.686614122390741
739.0,9.362466,7.686407427787779
740.0,9.278392,7.685284909009931
741.0,9.290877,7.68457834601402
742.0,9.352161,7.68434237360954
743.0,9.287623,7.68426265001297
744.0,9.26619,7.6835499989986396
745.0,9.351705,7.68332136154174
746.0,9.33042,7.682229995727539
747.0,9.255922,7.6815179669857
748.0,9.334126,7.681289947032919
749.0,9.357317,7.68121025204658
750.0,9.273947,7.68049762845039
751.0,9.297985,7.68026962041854
752.0,9.361145,7.679179503917689
753.0,9.292007,7.67847482442855
754.0,9.249675,7.67827124476432
755.0,9.356459,7.67816227793693
756.0,9.317904,7.677457612752909
757.0,9.261766,7.677253437042229
758.0,9.329773,7.676141979694361
759.0,9.363614,7.67593659639358
760.0,9.245892,7.67523255109787
761.0,9.258899,7.675155346393581
762.0,9.382344,7.674927999973289
763.0,9.288445,7.67434298753738
764.0,9.213628,7.673136948347089
765.0,9.32272,7.67293341994285
766.0,9.343999,7.67232644438743
767.0,9.254438,7.67212292194366
768.0,9.278494,7.67192672252655
769.0,9.361792,7.6713417375087705
770.0,9.301869,7.671146160364151
771.0,9.204522,7.67003719210624
772.0,9.33511,7.669833687543861
773.0,9.38804,7.66913092017173
