,Wavelength,Reflectance-Bare,Reflectance-QD
352,448.0,8.668007,10.6931595
353,447.0,8.669565,10.699573000000001
354,446.0,8.6634065,10.695641
355,445.0,8.649135000000001,10.686325499999999
356,444.0,8.644476000000001,10.678586
357,443.0,8.6375115,10.68583
358,442.0,8.636823,10.694439
359,441.0,8.6459145,10.696273999999999
360,440.0,8.6489675,10.7083145
361,439.0,8.649694499999999,10.715902499999999
362,438.0,8.6479325,10.71382
363,437.0,8.6432385,10.719987
364,436.0,8.6445635,10.720453
365,435.0,8.6454445,10.732409
366,434.0,8.64172,10.7456645
367,433.0,8.631042,10.741473
368,432.0,8.625661000000001,10.74935
369,431.0,8.610078,10.749206000000001
370,430.0,8.6021775,10.753135
371,429.0,8.5998025,10.769235
372,428.0,8.590975499999999,10.76656
373,427.0,8.574448499999999,10.7597865
374,426.0,8.5645275,10.771927
375,425.0,8.563187,10.781371
376,424.0,8.547014,10.7890755
377,423.0,8.5216755,10.799302
378,422.0,8.51531,10.79794
379,421.0,8.501083999999999,10.803521
380,420.0,8.4846945,10.8126435
381,419.0,8.475663,10.815084500000001
382,418.0,8.4516595,10.807626
383,417.0,8.439650499999999,10.828672000000001
384,416.0,8.420699,10.8443425
385,415.0,8.403247,10.8378135
386,414.0,8.3942045,10.8487635
387,413.0,8.38844,10.847808
388,412.0,8.359323,10.86194
389,411.0,8.347310499999999,10.8915025
390,410.0,8.327367500000001,10.9002365
391,409.0,8.293327999999999,10.917708000000001
392,408.0,8.277053500000001,10.9311735
393,407.0,8.258803,10.9385295
394,406.0,8.2292925,10.9592005
395,405.0,8.220997,10.9932275
396,404.0,8.189363,11.012364000000002
397,403.0,8.170263,11.020194
398,402.0,8.13234,11.0327755
399,401.0,8.102679,11.067206500000001
400,400.0,8.0880305,11.0919185
401,399.0,8.054708999999999,11.1113365
402,398.0,8.0301055,11.122575999999999
403,397.0,8.0045125,11.1517535
404,396.0,7.976533,11.198572500000001
405,395.0,7.957347,11.227941
406,394.0,7.938124499999999,11.2523765
407,393.0,7.902015499999999,11.296600999999999
408,392.0,7.885142500000001,11.324326
409,391.0,7.853196499999999,11.361681
410,390.0,7.83612,11.3976135
411,389.0,7.8170935,11.4281245
412,388.0,7.801076500000001,11.471096
413,387.0,7.787135,11.523530000000001
414,386.0,7.7831209999999995,11.5527175
415,385.0,7.765124,11.59425
416,384.0,7.7456515,11.6395085
