,nm,Sample1Ref,Sample2Ref,Sample3Ref,Sample4Ref
114,686.0,9.784012,10.422241,9.882954,9.451453
113,687.0,9.742836,10.372253,9.868554,9.443673
112,688.0,9.76284,10.386491,9.85624,9.441268
111,689.0,9.765682,10.413432,9.869132,9.446971
110,690.0,9.712753,10.345988,9.858315,9.421369
109,691.0,9.763623,10.403374,9.873082,9.431985
108,692.0,9.74537,10.376404,9.855171,9.435009
107,693.0,9.713042,10.329502,9.836253,9.404983
106,694.0,9.771355,10.403526,9.866202,9.418693
105,695.0,9.712681,10.337227,9.847279,9.419815
104,696.0,9.707836,10.334905,9.844206,9.393044
103,697.0,9.764641,10.377818,9.864726,9.417948
102,698.0,9.690003,10.302934,9.826814,9.40157
101,699.0,9.719075,10.356635,9.839366,9.39183
100,700.0,9.760975,10.360116,9.858986,9.420065
99,701.0,9.67436,10.280431,9.837318,9.38474
98,702.0,9.725334,10.358759,9.842031,9.392604
97,703.0,9.72784,10.316222,9.834599,9.411066
96,704.0,9.664848,10.262043,9.826349,9.372686
95,705.0,9.733496,10.356871,9.838544,9.388424
94,706.0,9.705742,10.283518,9.812041,9.394493
93,707.0,9.660161,10.259266,9.818923,9.352633
92,708.0,9.753179,10.327987,9.847365,9.392469
91,709.0,9.683445,10.24816,9.810033,9.397089
90,710.0,9.63103,10.273621,9.82562,9.347364
89,711.0,9.738168,10.318473,9.849884,9.381982
88,712.0,9.68072,10.225265,9.806205,9.381051
87,713.0,9.654008,10.272998,9.829635,9.344144
86,714.0,9.742379,10.294501,9.836063,9.391516
85,715.0,9.653279,10.198445,9.793913,9.363863
84,716.0,9.638385,10.272507,9.838049,9.323537
83,717.0,9.744272,10.281408,9.836624,9.379082
82,718.0,9.654065,10.183002,9.814335,9.351303
81,719.0,9.654502,10.26664,9.854396,9.319286
80,720.0,9.749873,10.241407,9.82824,9.39547
79,721.0,9.661058,10.16952,9.787719,9.359426
78,722.0,9.650251,10.259451,9.852003,9.306081
77,723.0,9.736158,10.223454,9.823379,9.389479
76,724.0,9.640084,10.157058,9.760057,9.35534
75,725.0,9.63933,10.24867,9.819284,9.301947
74,726.0,9.747157,10.20289,9.804558,9.375822
73,727.0,9.657567,10.144732,9.768049,9.346886
72,728.0,9.637211,10.226283,9.853096,9.298238
71,729.0,9.739728,10.181539,9.83196,9.364142
70,730.0,9.652954,10.125831,9.7969,9.359697
69,731.0,9.622968,10.224345,9.831744,9.294489
68,732.0,9.761829,10.176216,9.819764,9.343237
67,733.0,9.663739,10.127492,9.746292,9.376626
66,734.0,9.608423,10.236751,9.845464,9.284397
65,735.0,9.71747,10.18312,9.832294,9.325765
64,736.0,9.666522,10.11186,9.78186,9.363738
63,737.0,9.606128,10.219486,9.8229,9.287833
62,738.0,9.71582,10.170407,9.838111,9.316729
61,739.0,9.675792,10.092231,9.765597,9.362466
60,740.0,9.589907,10.204186,9.815313,9.278392
59,741.0,9.708319,10.14275,9.847688,9.290877
58,742.0,9.705809,10.053187,9.756761,9.352161
57,743.0,9.603095,10.180221,9.799362,9.287623
56,744.0,9.679113,10.178936,9.8476,9.26619
55,745.0,9.712253,10.075295,9.761934,9.351705
54,746.0,9.629906,10.162183,9.779263,9.33042
53,747.0,9.664607,10.180354,9.879323,9.255922
52,748.0,9.72649,10.037214,9.784802,9.334126
51,749.0,9.618074,10.110876,9.730412,9.357317
50,750.0,9.63134,10.19124,9.827744,9.273947
49,751.0,9.714397,10.049696,9.81033,9.297985
48,752.0,9.650349,10.100437,9.739532,9.361145
47,753.0,9.612266,10.190396,9.838616,9.292007
46,754.0,9.714611,10.044667,9.842334,9.249675
45,755.0,9.687417,10.036228,9.727893,9.356459
44,756.0,9.618492,10.182558,9.805683,9.317904
43,757.0,9.696978,10.097819,9.871723,9.261766
42,758.0,9.703466,9.997987,9.728764,9.329773
41,759.0,9.619433,10.181495,9.746645,9.363614
40,760.0,9.660134,10.141274,9.854113,9.245892
39,761.0,9.724629,9.990887,9.774093,9.258899
38,762.0,9.644385,10.135645,9.703603,9.382344
37,763.0,9.627526,10.175473,9.850297,9.288445
36,764.0,9.719478,9.99167,9.796358,9.213628
35,765.0,9.663315,10.045521,9.696834,9.32272
34,766.0,9.626795,10.19293,9.764389,9.343999
33,767.0,9.702914,10.062256,9.850183,9.254438
32,768.0,9.703868,9.991167,9.718277,9.278494
31,769.0,9.626152,10.163522,9.70113,9.361792
30,770.0,9.693133,10.110526,9.843394,9.301869
29,771.0,9.716748,9.93673,9.803498,9.204522
28,772.0,9.631713,10.095027,9.688491,9.33511
27,773.0,9.640322,10.197877,9.790997,9.38804
26,774.0,9.752503,9.988346,9.807129,9.210543
25,775.0,9.657658,10.006963,9.740306,9.246762
24,776.0,9.594098,10.190456,9.766,9.386586
23,777.0,9.723365,10.053702,9.857614,9.286627
22,778.0,9.765081,9.912736,9.726406,9.169903
21,779.0,9.582612,10.122063,9.653836,9.308204
20,780.0,9.653898,10.17224,9.803157,9.386958
19,781.0,9.80684,9.944841,9.829277,9.216799
18,782.0,9.653567,10.00651,9.690611,9.186918
17,783.0,9.564461,10.221261,9.721804,9.391785
16,784.0,9.756735,10.003013,9.824025,9.378319
15,785.0,9.798766,9.898461,9.727245,9.14025
14,786.0,9.540091,10.158031,9.669384,9.25907
13,787.0,9.612462,10.157409,9.79537,9.452704
12,788.0,9.837104,9.889921,9.832151,9.27195
11,789.0,9.690316,9.974033,9.671334,9.125527
10,790.0,9.506866,10.190619,9.676201,9.35038
9,791.0,9.734602,10.005467,9.797813,9.448895
8,792.0,9.858141,9.847944,9.737195,9.175112
7,793.0,9.538981,10.100279,9.58819,9.160937
6,794.0,9.53529,10.1692,9.758809,9.446701
5,795.0,9.838854,9.873666,9.816272,9.331068
4,796.0,9.79872,9.908641,9.715452,9.061688
3,797.0,9.491477,10.19306,9.693407,9.227848
2,798.0,9.623393,10.095511,9.736783,9.517013
1,799.0,9.915216,9.839536,9.717992,9.314972
0,800.0,9.669079,10.033519,9.708342,9.057651
