,nm,Ref-0,Ref-5,Ref-10,Ref-15,Ref-20,Ref-45,Ref-50,Ref-55,Ref-60
127,427.0,2.16396019346751,2.16497763940989,2.16847743041217,2.17666191638074,2.19643972376473,3.1301613184738897,3.84591994412206,5.0418297105404495,7.03823326892405
128,428.0,2.16230346941463,2.16317079901285,2.16666485163569,2.17540064457133,2.19500827245637,3.12854087980613,3.84216965659065,5.0374933417032395,7.024854949225199
129,429.0,2.16136785655021,2.16214372211918,2.1654820781338904,2.17421439229398,2.19388802810609,3.12481841370323,3.8416564254599597,5.03812916156407,7.023935314674209
130,430.0,2.16091816496588,2.16156058348491,2.16456658583991,2.17310328348502,2.19286248255744,3.12364657682674,3.83756111393896,5.03059413357572,7.02590498000616
131,431.0,2.1605787644688,2.16111709367819,2.16391268769614,2.1721941440589703,2.19177461381442,3.1250000903021498,3.83949091107519,5.0354059691362005,7.03559637736426
132,432.0,2.15974054803848,2.16027816981896,2.16302523239515,2.17110263226926,2.19074717283919,3.12197645740238,3.8369255640894098,5.02732880632439,7.012167767830279
133,433.0,2.15827858082577,2.15878873596191,2.16162675569653,2.17005380115583,2.18974781510941,3.12030498757651,3.83748681054078,5.032416343799881,7.02301543124532
134,434.0,2.15766320835948,2.1579648270934797,2.16042806765884,2.1689442700169903,2.18865273003503,3.11852231294997,3.8354294351278804,5.02719271184029,7.011251020488329
135,435.0,2.15670201984569,2.1569887017466103,2.15930634140111,2.16782309311032,2.1875246473249,3.1181888039551597,3.83378564830794,5.03326275080591,7.022377640779311
136,436.0,2.15372987020015,2.15487884386591,2.1583037883441802,2.16677643541619,2.1864746711418,3.11615257606543,3.83144530695993,5.02823605202147,7.015263582362791
137,437.0,2.15292437996678,2.15398941828422,2.15746701144427,2.16575058738105,2.18535934464111,3.1154489715589198,3.83059466419238,5.0269845785407306,7.00776561108743
138,438.0,2.15189419732056,2.15293325640931,2.15650195392891,2.16476502895168,2.18434410599768,3.11480532896649,3.8251246318780803,5.0236528070393,7.009976001174841
139,439.0,2.15038541027009,2.15132017895169,2.15492550579756,2.16355699865669,2.1833040915057,3.11092402760414,3.8257981433628996,5.02226514829043,7.00258268875265
140,440.0,2.14986501480042,2.1506160512369097,2.15386105116419,2.16249275551065,2.1822233380671503,3.11026870664814,3.82491335815684,5.01941242592902,7.00588950112257
141,441.0,2.14888502816222,2.1496005559429503,2.1527809299114997,2.1613525553762902,2.18099831048063,3.10904725738652,3.8224863876014004,5.018953536392369,6.9956101449582695
142,442.0,2.14861454314962,2.1492030971869798,2.15210056225694,2.16046422691419,2.1800462834291103,3.1073610713907502,3.8214999207545,5.013663444191311,7.00092685498558
143,443.0,2.1482861328125,2.1488003131479,2.1514593331243796,2.1596303631078397,2.17913067541942,3.1092749205350803,3.8232632345765802,5.0127687112688,7.00528574814889
144,444.0,2.14736321332454,2.14789038627594,2.1506332722574397,2.15874280578754,2.17817278675064,3.10658074965309,3.82003954559611,5.01290076139448,6.99296472047576
145,445.0,2.14595079093277,2.1464047944892197,2.14920250158906,2.1576789232172,2.1770958020072397,3.10588550442513,3.81982455235868,5.01062519242176,6.9932971820590994
146,446.0,2.14542880583032,2.14572320927679,2.14816856849789,2.15664621962569,2.17622905975468,3.1036710024822503,3.8162195042409004,5.01029828799217,6.9909570235453495
147,447.0,2.14451999588385,2.14479584861323,2.14715130632668,2.15570982371382,2.17531355761066,3.10259454514794,3.81790901807146,5.01175753470519,6.9951902895214895
148,448.0,2.1417498459842,2.14286359372884,2.14619449934363,2.1546983657646903,2.17434136774428,3.10254847477478,3.81653440665565,5.011501823063471,6.9831331613086105
149,449.0,2.14082373154163,2.14192822141796,2.14538426478356,2.15371596974991,2.1733119667604504,3.10150189625499,3.81484148243181,5.0091546341752595,6.98980948007786
150,450.0,2.13989754826687,2.14097992969416,2.14451863212436,2.15277701468281,2.17237755698449,3.09999414087683,3.8105940482323,5.00938254700209,6.992231932431079
151,451.0,2.13886647522114,2.1399080912359003,2.1435730136305,2.15189305881038,2.17141698919199,3.09845576240597,3.81126378443315,5.00404886897169,6.99414273188049
152,452.0,2.13784282206892,2.13867063029371,2.14209070388525,2.15073842852674,2.1703441017203,3.09555723677016,3.81192235608473,5.00119221620718,6.98325521369455
153,453.0,2.1369979798458503,2.1377749971732403,2.14109392079785,2.14980020766779,2.16952765842154,3.09838403951898,3.8058268118685996,4.99897166952435,6.987612836372479
154,454.0,2.13655509378388,2.13722383594401,2.14032099437117,2.14888821955062,2.16847028951346,3.09459776438549,3.8096760682679696,4.99866043437216,6.9761192814498205
155,455.0,2.13636024186611,2.13691698053032,2.13973938062861,2.14797136030197,2.16753828996568,3.0926064497649604,3.8078664563354097,5.000810740373931,6.971838209030209
156,456.0,2.13563614695072,2.1362343066778,2.13906396094262,2.14717950072623,2.1666506999582,3.09357499308325,3.8039999207310298,4.998749988399069,6.97755601644562
157,457.0,2.13512172091007,2.13565593683719,2.13833632826358,2.1463572714600696,2.16580369303487,3.09373516239076,3.8018139737373198,4.99473574975719,6.97529607591368
158,458.0,2.1337388916883597,2.13420400940477,2.13697814928367,2.14545445897355,2.16483763803802,3.08977784586725,3.80053435946609,4.99933730327477,6.976170706398969
